word,context,pmi
0,0,3.8691707152856902
0,1,0.25052587029026036
0,2,0.0
0,4,4.053542997346495
0,10,4.074223202584034
0,12,5.794009172187
0,13,4.059408116798893
0,16,4.838497727159563
0,18,3.491424079192954
0,21,3.9377111818213733
0,22,3.491424079192954
0,30,3.092647959235586
0,38,3.9149459710483607
0,45,3.848099023131686
0,46,3.5967845948507797
0,47,4.590036367861063
0,50,3.929929041379318
0,52,3.850850056503576
0,53,3.6306861465264615
0,58,3.848099023131686
0,60,3.7145676305071635
0,66,4.071242574445896
0,68,3.848099023131686
0,69,3.3961138993886286
0,71,4.002249702958944
0,72,3.603686666317959
0,81,4.541246203691632
0,82,4.289931775410725
0,83,4.541246203691632
0,84,3.491424079192954
0,90,3.5761653076480444
0,91,3.799308858962254
0,94,3.8770865600049382
0,96,4.813179919175273
0,106,4.69539688351889
0,108,3.739885438491453
0,109,3.7145676305071635
0,110,3.13594985583074
0,111,1.8819861667588533
0,114,4.69539688351889
0,115,4.69539688351889
0,117,3.891901645790079
0,119,3.6657774663377314
0,120,2.984606476824502
0,122,3.848099023131686
0,123,3.491424079192954
0,124,4.289931775410725
0,127,3.3961138993886286
0,128,3.7791061516447346
0,135,4.26795286869195
0,137,3.7791061516447346
0,138,4.184571259752899
0,139,3.154951842571741
0,140,3.154951842571741
0,143,2.960795828130783
0,144,3.501474415046455
0,145,2.9781015752283757
0,148,4.69539688351889
0,149,3.491424079192954
0,150,4.26795286869195
0,154,3.351662136817795
0,156,3.7658609248947137
0,161,4.541246203691632
0,162,3.3599342428111263
0,164,1.2507143899169955
0,166,3.5967845948507797
0,167,4.184571259752899
0,168,4.289931775410725
0,170,3.154951842571741
0,171,3.848099023131686
0,172,3.3961138993886286
0,174,4.499282004592599
0,177,3.583904931987119
0,178,3.922206995285408
0,180,4.929011734700395
0,182,3.491424079192954
0,183,4.002249702958944
0,184,2.676059265908759
0,185,4.184571259752899
0,186,5.611687615393045
0,189,4.615354175845353
0,192,2.6131563498856134
0,193,1.1161332498512793
0,194,1.9691846751134816
0,223,1.1221153541559998
0,224,1.091349364921651
0,229,5.100861991627054
0,231,1.7926679288106562
0,237,3.1198605227604705
0,238,1.0523432416103704
0,246,1.3548935705289906
0,252,1.3985728506032002
0,257,2.1269280855344754
0,262,1.8102238005319626
